#{"t_start": 1628272413.2611737, "env_id": null}
r,l,t
431.009725,500,11.128669
432.405548,500,17.852738
136.913886,500,23.851585
70.545623,500,29.856804
360.955435,500,35.914896
424.009919,500,41.973157
371.680321,500,47.955821
447.510644,500,54.033268
458.383652,500,60.042804
398.751836,500,66.072423
435.583187,500,72.087572
413.460737,500,78.228908
432.149343,500,84.236687
413.825177,500,90.267174
401.949821,500,96.245404
-4448.426147,500,102.23528
406.569577,500,108.186598
447.383793,500,114.154591
443.161795,500,120.373557
413.357369,500,126.404477
429.583565,500,132.443928
399.992203,500,138.378603
434.061963,500,144.352743
406.786718,500,150.264243
417.574993,500,156.24547
328.046996,500,162.240081
416.440808,500,168.228931
388.298287,500,174.211979
-8.36027,500,180.16878
327.209057,500,186.157413
412.855171,500,192.248978
395.389891,500,198.263695
148.166413,500,204.219414
423.962957,500,210.269543
411.607002,500,216.296877
434.328085,500,222.300569
403.754374,500,228.26598
458.442554,500,234.211654
423.417545,500,240.238771
418.253179,500,246.27708
333.69969,500,252.280755
421.759336,500,258.273956
363.116023,500,264.364984
423.987494,500,270.403504
440.795979,500,276.298285
420.263842,500,282.341324
372.198189,500,288.379453
357.43197,500,294.460544
366.09099,500,300.385941
381.229866,500,306.39554
342.740794,500,312.422412
335.95805,500,318.35575
368.012211,500,324.618382
280.261804,500,330.908317
338.856282,500,336.929479
272.785435,500,342.941331
416.914547,500,348.990195
426.859484,500,355.005398
424.077266,500,361.057366
425.291884,500,367.017936
423.500161,500,373.03885
410.372364,500,379.035808
386.760241,500,385.049675
307.890064,500,391.116062
286.585317,500,397.201038
241.445767,500,403.211641
315.701023,500,409.162931
154.238799,500,415.19879
399.931782,500,421.145253
342.646978,500,427.130092
421.107003,500,433.110824
-392.485179,500,439.07074
-1062.24328,500,445.082448
-911.120459,500,451.0981
-76.921201,500,457.023678
-1180.639617,500,462.809605
-1014.21536,500,468.641829
-793.749088,500,474.53577
-1109.303449,500,480.449329
-1134.626294,500,486.376614
-1651.146537,500,492.287408
-338.781692,500,498.286895
-24.973002,500,504.172216
-656.254821,500,510.088152
180.212324,500,515.962861
-17.397996,500,521.779588
413.142631,500,527.665564
430.156707,500,533.596746
378.586913,500,539.519668
216.748084,500,545.400321
124.311511,500,551.418918
257.48776,500,557.263552
82.246967,500,562.996583
247.445377,500,568.827121
-0.71033,500,574.659847
336.208515,500,580.558937
389.794227,500,586.401493
382.256205,500,592.333516
390.626908,500,598.185566
135.31648,500,603.984893
375.511106,500,609.718016
269.26116,500,615.625015
315.588546,500,621.569853
337.103515,500,627.442281
-256.189465,500,633.278248
-133.158435,500,639.100032
369.168871,500,644.920623
262.948396,500,650.808208
347.37606,500,656.675533
326.643193,500,662.441234
272.846901,500,668.262289
395.525915,500,674.064219
297.413093,500,679.957371
435.460567,500,685.779283
403.418484,500,691.648411
384.06746,500,697.492727
334.428511,500,703.346267
142.676577,500,709.233176
114.68043,500,715.077474
49.682133,500,720.979538
-245.196449,500,726.828905
239.342588,500,732.693246
368.727396,500,738.603697
205.624327,500,744.491275
181.231344,500,750.442454
351.175093,500,756.256037
274.6577,500,762.126848
108.339931,500,768.073247
348.826869,500,773.969096
283.462182,500,779.796861
234.607517,500,785.557027
291.147705,500,791.417773
142.513309,500,797.263234
237.081647,500,803.146392
216.452012,500,809.085714
271.022632,500,814.941204
184.564765,500,820.82306
-464.995641,500,826.677364
269.581456,500,832.561337
102.539922,500,838.375038
146.033405,500,844.127569
59.927968,500,850.034336
339.604826,500,855.932575
366.68261,500,861.827597
