Wall time,Step,Value
1628615905.07594,11159,124940.6015625
1628616093.4162612,28040,13122.728515625
1628616506.9341547,67130,12246.908203125
1628616862.5274205,100938,8624.03125
1628617277.7379143,140209,7029.458984375
1628617677.2975507,178323,12424.388671875
1628618076.1040583,216311,20880.876953125
1628618511.0162852,257762,4643.1650390625
1628618958.0827105,300427,10309.4140625
1628619407.0067334,343061,6644.16796875
1628619867.8489637,384515,6322.205078125
1628620327.714851,426361,11188.97265625
1628620786.8104885,469026,5999.0224609375
1628621720.9539647,512989,4510.1484375
1628622225.7986152,558363,10229.107421875
1628623335.3122783,604540,5660.6484375
1628623861.9792821,652107,5386.5634765625
1628624464.0292578,699818,5588.60986328125
1628624948.7844477,746126,3301.5029296875
1628625429.2654412,792192,1770.3065185546875
1628625909.8638153,838347,23877.73046875
1628659826.5705812,886187,6840.8837890625
1628660345.5912762,932976,11538.509765625
1628660872.0239575,979598,1363.5626220703125
1628661369.8850424,1025411,16202.177734375
1628661879.5111284,1072104,1571.87939453125
1628662350.395132,1108797,14897.400390625
1628662458.756021,1118634,1769.4775390625
1628662580.871909,1130074,1190.472412109375
1628662702.0991814,1141521,945.7589111328125
1628662827.0664585,1153366,7326.41943359375
1628662951.738637,1165110,760.5804443359375
1628663075.446865,1176532,1050.1146240234375
1628663210.4977567,1188705,1650.455078125
1628663329.8220909,1199298,493.013916015625
1628663448.47054,1209836,513.895751953125
1628663557.0436642,1219381,1629.35107421875
1628663677.2612884,1229808,4546.505859375
1628663807.3044715,1241391,1578.748291015625
1628663916.0543263,1250956,1953.665771484375
1628664045.1080382,1262334,357526.25
1628664176.0234263,1273732,2264.60791015625
1628664309.6748035,1285420,2757.50927734375
1628664429.2696855,1295941,764.5247802734375
1628664559.4242141,1307421,9337.666015625
1628664696.8155746,1319460,5299.06494140625
1628664827.1825528,1330494,1518.646484375
1628664970.6353493,1342866,6504.8740234375
1628665909.4729316,1354493,7998.7783203125
1628666036.3630958,1366245,1848.8773193359375
1628666155.0079138,1377341,3251.338134765625
1628666271.5399294,1388403,2516.46142578125
1628666403.1232715,1400903,1261.695556640625
1628666537.7407737,1413403,7206.5400390625
1628666670.0148604,1425672,530.784912109375
1628666803.467415,1438017,2151.86669921875
1628666934.4446702,1450062,17520.939453125
1628667063.8722184,1461794,677.3201293945312
1628667197.6112454,1473878,1639.351806640625
1628667319.5689707,1485116,150261.625
1628667447.0520082,1496874,3941.451171875
1628667568.9326882,1508129,13880.318359375
1628667707.1055326,1520623,5059.2421875
1628667828.9357347,1531837,293946.15625
1628667964.732542,1544159,4293.90478515625
1628668101.1913428,1556659,48171.6328125
1628668231.7483146,1568472,11811.0166015625
1628668357.4516594,1579973,28921.2109375
1628668472.000616,1590418,659.1304931640625
1628668716.7234836,1600500,8350.05859375
1628668842.8534763,1611565,832.4280395507812
1628668979.3039918,1623597,521.8583984375
1628669114.569369,1635825,1892.9769287109375
1628669235.9835923,1646971,696.0697631835938
1628669376.3320708,1659471,266.60174560546875
1628669507.1744401,1671076,511.67108154296875
1628669609.1873655,1680171,1867.7325439453125
1628669743.6380997,1692268,6415.9833984375
1628669868.9339333,1703483,2607.90771484375
1628670004.717004,1715763,848.8438720703125
1628670133.2556071,1727631,1556.273681640625
1628670252.7821655,1738751,1467.18408203125
1628670363.0619197,1749033,2297.16455078125
1628670464.6008003,1758397,3952.47705078125
1628670580.8299725,1769273,2005.0762939453125
1628670710.5338173,1781084,3728.57666015625
1628670834.3098469,1792413,1136.0826416015625
1628670961.6852303,1803921,4058.67529296875
1628671085.3946228,1815222,945.072021484375
1628671220.7929003,1827244,480.5390625
1628671347.462052,1838577,1590.796142578125
1628671555.6913779,1851000,2812.917236328125
1628671688.4259803,1862802,2397.16357421875
1628671821.6015818,1874818,656.5013427734375
1628671960.4882686,1887318,16513.529296875
1628672094.7397945,1899331,3321.01708984375
1628672225.5459235,1910865,743.421630859375
1628672360.744241,1923155,680.3995971679688
1628672491.3654711,1934966,5088.427734375
1628672627.1932526,1946978,3814.50146484375
1628672758.4848173,1958521,502.6926574707031
1628672891.137408,1970359,3427.97265625
1628673037.4190614,1982759,626.3095092773438
1628673172.4023254,1994542,2523.2490234375
1628673313.5974326,2006776,556.5795288085938
1628673449.2928152,2018807,1490.099853515625
1628673585.2520974,2030859,23742.3515625
1628673718.4607918,2042627,661.8983154296875
1628673877.2191677,2054824,2123.353515625
1628674057.9134238,2066843,1092.40234375
1628674231.4294438,2079343,9079.8837890625
1628674384.678704,2090879,738.479736328125
1628674876.369265,2103500,6157.4248046875
1628675004.3974292,2115504,448.42889404296875
1628675136.881882,2127910,239733.5
1628675265.8776612,2139937,346292.4375
1628675395.622011,2152139,3897.0849609375
1628675516.5196683,2163528,4302.38916015625
1628675648.7282798,2175953,2076.597900390625
1628675781.4513645,2188435,3522.26953125
1628675909.2373986,2200405,262536.4375
1628676041.030696,2212755,4065.605712890625
1628676169.7822278,2224774,3538.9345703125
1628676303.0042338,2237209,1083.7132568359375
1628676436.932758,2249709,567.678955078125
1628676565.7210915,2261798,1577.5550537109375
1628676697.3070064,2274174,4193.791015625
1628676821.91899,2285896,1362.781982421875
1628676939.2999015,2296951,3781.75390625
1628677066.770597,2308947,1224.0623779296875
1628677197.6476212,2321300,560.6917724609375
1628677325.2921355,2333307,426.6653747558594
1628677456.1180341,2345640,5607.51123046875
1628678107.3029559,2357847,948.9484252929688
1628678238.8060224,2370194,377.27252197265625
1628678369.8826087,2382250,1703.014892578125
1628678486.2284005,2393190,2180.53369140625
1628678617.6324975,2405389,570.6207885742188
1628678749.7938654,2417454,880.19921875
1628678878.3470254,2429191,3096.38916015625
1628679013.519723,2441558,574.2762451171875
1628679136.384691,2452818,1741.638916015625
1628679259.6684074,2464362,6588.05126953125
1628679393.1569476,2476830,4925.1953125
1628679522.7293375,2489029,865.4820556640625
1628679645.3686943,2500597,2053.1396484375
1628679772.5004241,2512599,967.0772705078125
1628679901.0979483,2524757,286.44866943359375
1628680022.1745672,2536179,14644.8154296875
1628680148.5880349,2547600,563.32568359375
1628680281.8982482,2559899,6320.9365234375
1628680410.864569,2571911,1753.8990478515625
