Wall time,Step,Value
1628615905.0758674,11159,-15234.5
1628616093.4161878,28040,-18210.26171875
1628616506.934067,67130,-15098.724609375
1628616862.5273113,100938,-12748.2041015625
1628617277.737842,140209,-9948.5107421875
1628617677.297479,178323,-9069.65234375
1628618076.1039827,216311,-8942.6953125
1628618511.0162141,257762,-7983.2255859375
1628618958.0826032,300427,-9322.3486328125
1628619407.0066476,343061,-6674.9384765625
1628619867.8488755,384515,-7894.03125
1628620327.7147782,426361,-7642.57421875
1628620786.8104067,469026,-7747.1552734375
1628621720.953892,512989,-5947.4658203125
1628622225.7985435,558363,-5614.02734375
1628623335.3121746,604540,-4690.0849609375
1628623861.979122,652107,-4916.93310546875
1628624464.0291576,699818,-4812.5673828125
1628624948.784377,746126,-4736.87255859375
1628625429.2653356,792192,-5280.41064453125
1628625909.8637419,838347,-5089.51611328125
1628659826.5704684,886187,-4234.8974609375
1628660345.5911922,932976,-5059.03271484375
1628660872.023864,979598,-5624.4814453125
1628661369.8849707,1025411,-4895.40576171875
1628661879.511048,1072104,-5097.25439453125
1628662350.395051,1108797,-3859.613525390625
1628662458.755924,1118634,-5063.2734375
1628662580.8717904,1130074,-5737.10009765625
1628662702.0991101,1141521,-5743.74755859375
1628662827.0663304,1153366,-6536.32763671875
1628662951.7385337,1165110,-5747.21435546875
1628663075.4467695,1176532,-5363.47607421875
1628663210.497656,1188705,-5399.87158203125
1628663329.821957,1199298,-5301.64013671875
1628663448.4704533,1209836,-5835.18212890625
1628663557.0435917,1219381,-6936.43994140625
1628663677.2611756,1229808,-7238.00390625
1628663807.3043993,1241391,-6831.21240234375
1628663916.0541852,1250956,-7296.208984375
1628664045.1079657,1262334,-6602.86376953125
1628664176.023288,1273732,-6526.3203125
1628664309.674691,1285420,-7014.4453125
1628664429.2695506,1295941,-6209.890625
1628664559.4241388,1307421,-6155.546875
1628664696.8154974,1319460,-5476.65185546875
1628664827.1824481,1330494,-5397.05517578125
1628664970.635215,1342866,-5069.5146484375
1628665909.472858,1354493,-4776.1708984375
1628666036.3630252,1366245,-4962.16943359375
1628666155.0078123,1377341,-4576.59619140625
1628666271.5398595,1388403,-4407.5458984375
1628666403.1231742,1400903,-4224.89892578125
1628666537.7406697,1413403,-3928.056396484375
1628666670.014702,1425672,-4157.09326171875
1628666803.46733,1438017,-4144.2841796875
1628666934.4445996,1450062,-3983.2626953125
1628667063.872135,1461794,-4383.75
1628667197.611088,1473878,-4167.0625
1628667319.5688937,1485116,-4339.7197265625
1628667447.0519357,1496874,-5011.2724609375
1628667568.932619,1508129,-5123.4072265625
1628667707.1054583,1520623,-5008.54345703125
1628667828.9356654,1531837,-4856.43408203125
1628667964.7324648,1544159,-4287.533203125
1628668101.1912704,1556659,-4088.771484375
1628668231.7482054,1568472,-4220.19287109375
1628668357.4515898,1579973,-4486.6064453125
1628668472.0005047,1590418,-5331.61962890625
1628668716.7234118,1600500,-5895.107421875
1628668842.8533628,1611565,-5899.859375
1628668979.3038952,1623597,-5728.603515625
1628669114.5692973,1635825,-5198.4111328125
1628669235.9835212,1646971,-4835.47314453125
1628669376.3319883,1659471,-4845.04541015625
1628669507.1743681,1671076,-5093.63671875
1628669609.1872914,1680171,-6310.77490234375
1628669743.6380267,1692268,-6164.7900390625
1628669868.9338493,1703483,-6474.19970703125
1628670004.7169027,1715763,-6302.11767578125
1628670133.2555346,1727631,-5013.3154296875
1628670252.7820761,1738751,-5563.1494140625
1628670363.061848,1749033,-6044.9013671875
1628670464.6007175,1758397,-7959.01708984375
1628670580.8298664,1769273,-8690.470703125
1628670710.5337148,1781084,-8544.01171875
1628670834.309775,1792413,-8341.1826171875
1628670961.685137,1803921,-6563.44921875
1628671085.3945503,1815222,-6326.62890625
1628671220.7928247,1827244,-6064.6708984375
1628671347.4619644,1838577,-5608.34423828125
1628671555.691303,1851000,-5561.2265625
1628671688.4258542,1862802,-5172.81640625
1628671821.6015046,1874818,-4893.51025390625
1628671960.4881084,1887318,-4542.01513671875
1628672094.7397065,1899331,-4237.0673828125
1628672225.5458171,1910865,-4275.537109375
1628672360.7441676,1923155,-4477.39404296875
1628672491.3653982,1934966,-4998.3515625
1628672627.1931524,1946978,-5198.708984375
1628672758.484735,1958521,-5336.98193359375
1628672891.1373339,1970359,-5067.92236328125
1628673037.4189863,1982759,-4864.69677734375
1628673172.4022498,1994542,-5029.88525390625
1628673313.5973594,2006776,-4857.43994140625
1628673449.2927418,2018807,-4932.93310546875
1628673585.2520223,2030859,-4700.8291015625
1628673718.4607172,2042627,-4674.62744140625
1628673877.2190745,2054824,-4537.201171875
1628674057.9132879,2066843,-4599.67431640625
1628674231.4293218,2079343,-4615.98486328125
1628674384.678631,2090879,-4375.74267578125
1628674876.3691208,2103500,-4277.173828125
1628675004.397355,2115504,-4286.9697265625
1628675136.8817806,2127910,-4503.13037109375
1628675265.877574,2139937,-4358.5751953125
1628675395.6219378,2152139,-4196.16162109375
1628675516.5195746,2163528,-4448.7890625
1628675648.728199,2175953,-4324.09912109375
1628675781.451293,2188435,-4337.35009765625
1628675909.2373245,2200405,-4723.13232421875
1628676041.0305867,2212755,-4532.39111328125
1628676169.782095,2224774,-4548.490234375
1628676303.0041611,2237209,-4598.56298828125
1628676436.9326847,2249709,-4356.158203125
1628676565.7210133,2261798,-4321.091796875
1628676697.306933,2274174,-4239.205078125
1628676821.918886,2285896,-4882.107421875
1628676939.2997918,2296951,-4980.8798828125
1628677066.770494,2308947,-5032.13427734375
1628677197.647548,2321300,-5020.47900390625
1628677325.292031,2333307,-4423.16552734375
1628677456.1179612,2345640,-4457.5009765625
1628678107.3028822,2357847,-4675.66064453125
1628678238.805951,2370194,-4692.48974609375
1628678369.8825364,2382250,-4847.01708984375
1628678486.2283282,2393190,-5258.77734375
1628678617.632426,2405389,-5121.11865234375
1628678749.7937813,2417454,-5261.54736328125
1628678878.3469274,2429191,-5235.36279296875
1628679013.5196419,2441558,-4822.15771484375
1628679136.3845935,2452818,-5011.02001953125
1628679259.6683352,2464362,-5029.154296875
1628679393.156847,2476830,-4879.150390625
1628679522.7292569,2489029,-5022.74462890625
1628679645.3686233,2500597,-4489.27783203125
1628679772.5003514,2512599,-4428.76318359375
1628679901.0978603,2524757,-4665.572265625
1628680022.1744912,2536179,-4666.2138671875
1628680148.5879319,2547600,-5096.3994140625
1628680281.8981745,2559899,-5259.8173828125
1628680410.8644965,2571911,-4968.6689453125
1628680535.8651223,2583626,-5075.70458984375
1628680651.673061,2594532,-5105.71484375
