Wall time,Step,Value
1628684316.107716,2215,1215250.625
1628684327.877738,4665,520430.40625
1628684340.3764095,6946,325923.4375
1628684354.6272235,9755,158747.734375
1628684367.321539,12381,235735.890625
1628684380.4382846,15272,176418.96875
1628684393.5477443,18077,228140.03125
1628684408.3800602,21299,96805.234375
1628684424.0788894,24464,218415.625
1628684438.5335076,27633,119800.4140625
1628684453.6267676,31174,81733.359375
1628684470.607732,34427,46869.69140625
1628684487.4045975,38090,56057.0
1628684507.859397,42530,38945.41015625
1628684526.8754137,46577,52194.75
1628684561.9404275,53982,57920.265625
1628684596.1203697,61417,60286.0546875
1628684636.7337434,70385,55517.42578125
1628684673.2265625,78120,65543.2578125
1628684717.5250685,87348,65934.1015625
1628684755.5742702,95369,70548.0546875
1628684869.9804003,104901,72211.390625
1628684903.0207372,111979,106404.46875
1628684946.6473322,121088,45192.89453125
1628684989.3036332,130201,75630.640625
1628685027.5546079,138964,75257.9609375
1628685063.7372742,146535,79859.6484375
1628685099.6710188,154801,83919.890625
1628685142.0377166,163553,51488.12890625
1628685177.7374005,171348,72566.7578125
1628685213.33263,179176,62163.58984375
1628685252.3390822,186951,65797.8125
1628685286.309737,194205,76326.2578125
1628685365.4819896,202134,52410.703125
1628685405.9775355,210077,65024.33984375
1628685440.1556356,217359,63483.0
1628685473.6842754,224372,31488.53125
1628685502.9108074,230597,66457.03125
1628685536.4362426,238219,64516.3671875
1628685575.6966882,246589,74322.640625
1628685608.682511,253677,50806.6875
1628685647.487086,262134,49036.9375
1628685684.5635877,270056,90838.5546875
1628685725.7869604,279016,64026.41796875
1628685768.7240677,287975,56174.578125
1628685808.1983416,296439,53582.48046875
1628685844.86084,304791,72030.203125
1628685879.7866073,312395,50510.1328125
1628685921.830174,321267,56036.5390625
1628685964.0568893,330234,47604.2734375
1628686003.9270506,338331,58326.390625
1628686042.4496331,346347,50033.28125
1628686090.869589,354795,53463.84765625
1628686141.3240855,365062,53431.28125
1628686196.8875573,376435,65907.6953125
1628686239.1533802,384643,84704.3828125
1628686289.371188,394280,72405.9296875
1628686321.3939574,401377,79234.6640625
1628686362.176147,410338,42097.6796875
1628686400.9706984,418656,47287.87109375
1628686443.9717484,427916,56050.63671875
1628686482.6971405,436297,55952.55078125
1628686525.3770604,445162,41935.70703125
1628686565.5082939,453597,50816.0625
1628686608.802471,462388,31218.642578125
1628686659.3870814,472574,42784.640625
1628686701.6351826,482302,37731.0078125
1628686755.795465,493876,35483.609375
