Wall time,Step,Value
1628777005.337641,2766,601.4200439453125
1628777020.264459,5400,1364.1695556640625
1628777033.7596629,7841,2148.347412109375
1628777118.3300064,10828,2990.833984375
1628777134.9550145,13642,3881.958251953125
1628777153.7948623,16806,4632.6904296875
1628777172.0309365,19840,5610.30126953125
1628777193.758136,23362,6366.71337890625
1628777215.8676472,26946,6988.25537109375
1628777235.776673,30492,7765.80517578125
1628777260.5198228,34561,8337.6435546875
1628777284.6064126,38333,8850.427734375
1628777308.9184625,42262,9445.41015625
1628777338.9507518,47322,9939.9814453125
1628777363.854943,51816,10397.8095703125
1628777388.5904078,56225,10828.91796875
1628777422.9556537,61858,11234.7978515625
1628777471.1864698,70366,11346.9189453125
1628777523.113635,79382,11382.0537109375
1628777576.8426855,88911,11333.560546875
1628777620.865032,96605,11201.87109375
1628777665.7188542,104608,11001.59375
1628777706.4044447,111864,10882.55859375
1628777743.5596862,119044,10911.091796875
1628777782.0359888,126079,11124.400390625
1628777827.8229702,134125,11107.033203125
1628777866.5193312,141554,11047.791015625
1628777903.1109743,147843,10980.140625
1628777934.8028975,154070,11047.6474609375
1628777970.9663887,160670,10889.09375
1628778009.8083475,167511,10832.90234375
1628778046.8017693,174165,10684.7529296875
1628778084.0180776,181389,10581.50390625
1628778111.5751898,186331,10558.4453125
1628778140.0983875,191364,10571.7060546875
1628778163.2415695,195602,10575.08203125
1628778195.5204456,201706,10645.2109375
1628778210.5359235,204742,10516.5234375
1628778241.142672,210306,10575.125
1628778266.1962922,214031,10563.287109375
1628778306.7204876,220266,10554.9921875
1628778349.771818,227955,10487.6220703125
1628778391.791802,234599,10390.8935546875
1628778424.6654663,239529,10391.9404296875
1628778458.2598155,245077,10304.181640625
1628778489.0821624,250617,10269.044921875
1628778509.2844265,253567,10251.4873046875
1628778546.8303847,259825,10203.1005859375
1628778564.2860122,262794,10163.2255859375
1628778590.8432786,267764,10065.947265625
1628778615.856346,271697,9813.2919921875
1628778630.9467,274137,10141.99609375
1628778660.9627337,279146,9985.00390625
1628778686.422741,283102,9871.4443359375
1628778733.438064,291203,9754.7412109375
1628778770.6942308,297112,9711.376953125
1628778813.5477514,304217,9577.376953125
1628778838.7428908,308689,9675.36328125
1628778875.880544,314862,9486.6923828125
1628778905.3570817,319895,9424.2626953125
1628778945.3742218,326572,9221.580078125
1628778987.6689775,333674,9090.3251953125
1628779028.2607336,339878,8969.064453125
1628779073.6226068,347396,8831.8740234375
1628779121.1514437,355447,8687.7919921875
1628779152.027676,361098,8543.3154296875
1628779191.5022957,367558,8528.2451171875
1628779233.0769095,374450,8313.3408203125
1628779266.8917289,380193,8303.4716796875
1628779308.238939,386707,8177.94580078125
1628779363.571122,396032,8077.9609375
1628779408.7362921,403531,8006.91162109375
1628779443.6116924,409250,7823.55322265625
1628779496.945645,417798,7723.95947265625
1628779540.9732146,425157,7606.0146484375
1628779595.4552982,434370,7449.0498046875
1628779645.0600445,441681,7342.59326171875
1628779687.2252553,449075,7273.88134765625
1628779724.5855553,455295,6953.267578125
1628779776.2421906,463927,6960.82763671875
1628779815.805583,470448,6970.75537109375
1628779876.4115112,480657,6902.12939453125
1628779933.5068038,490326,6634.853515625
1628780002.3799927,501515,6604.87548828125
1628780051.7306685,509760,6552.55419921875
1628780185.7311037,519289,6496.216796875
1628780240.531626,529077,6329.92724609375
1628780305.6007147,540002,6161.095703125
1628780364.1343682,549793,6317.86669921875
1628780432.6741972,560967,5777.73779296875
1628780484.2421145,569471,5668.53759765625
1628780527.6056745,576987,5552.7275390625
1628780587.735947,587014,5443.83447265625
1628780647.091167,597469,5333.13134765625
1628780703.7267318,607511,5272.8369140625
1628780758.2771838,617188,5165.5927734375
1628780818.238161,627782,5042.76904296875
1628780888.4525814,639692,4857.97265625
1628780940.1173537,649297,4725.44482421875
1628781007.825924,661310,4614.677734375
1628781068.889815,671714,4576.140625
1628781126.0905893,682277,4578.18701171875
