Wall time,Step,Value
1628777005.3375888,2766,-16236.4990234375
1628777020.2643352,5400,-15567.4072265625
1628777033.759609,7841,-15527.8525390625
1628777118.3299541,10828,-15363.4150390625
1628777134.9549599,13642,-15438.9013671875
1628777153.7948098,16806,-15758.9833984375
1628777172.030814,19840,-16070.5810546875
1628777193.7580843,23362,-16539.970703125
1628777215.8675306,26946,-16327.45703125
1628777235.7765718,30492,-16608.123046875
1628777260.5197256,34561,-16940.71875
1628777284.6063557,38333,-16803.0390625
1628777308.9184113,42262,-17321.982421875
1628777338.9506783,47322,-17551.544921875
1628777363.8548915,51816,-17184.669921875
1628777388.590342,56225,-17187.240234375
1628777422.9555883,61858,-17052.001953125
1628777471.1863713,70366,-15894.19140625
1628777523.113553,79382,-15005.5654296875
1628777576.8425975,88911,-14003.55078125
1628777620.8649797,96605,-12850.6767578125
1628777665.7187917,104608,-12733.0703125
1628777706.4043424,111864,-13112.666015625
1628777743.559621,119044,-13991.15234375
1628777782.0359364,126079,-14652.5185546875
1628777827.8228757,134125,-14210.798828125
1628777866.5192776,141554,-13460.609375
1628777903.1109087,147843,-12567.494140625
1628777934.802812,154070,-11366.1005859375
1628777970.9663374,160670,-11786.482421875
1628778009.8082864,167511,-11813.9951171875
1628778046.8017173,174165,-11425.34765625
1628778084.0180113,181389,-11514.7890625
1628778111.5751374,186331,-11562.1552734375
1628778140.0983338,191364,-12257.3046875
1628778163.2415166,195602,-12743.9150390625
1628778195.5203776,201706,-12914.4208984375
1628778210.5358512,204742,-13041.865234375
1628778241.142621,210306,-12390.12890625
1628778266.1962402,214031,-12460.142578125
1628778306.7204258,220266,-12549.5771484375
1628778349.7717652,227955,-11639.923828125
1628778391.7917466,234599,-11323.8251953125
1628778424.6654003,239529,-10866.9814453125
1628778458.2597475,245077,-10398.8837890625
1628778489.0820653,250617,-10620.80078125
1628778509.2843716,253567,-11043.50390625
1628778546.8303318,259825,-10865.509765625
1628778564.2859185,262794,-11465.583984375
1628778590.8431945,267764,-11560.6962890625
1628778615.8562522,271697,-11664.0703125
1628778630.946644,274137,-12069.818359375
1628778660.9626665,279146,-11800.9189453125
1628778686.4226553,283102,-12016.2265625
1628778733.4379957,291203,-11284.7939453125
1628778770.6941628,297112,-11130.966796875
1628778813.547673,304217,-10685.5537109375
